Produto Interno Bruto Per Capita,,
"Observatório do Trabalho do Estado de Minas Gerais, Municípios.  Ano: 2021.  Valores em reais (R$).",,
Municípios,Ano(s),Produto interno bruto per capita
,,Total
Monte Santo de Minas ,2021,"22.477,33"
Montes Claros ,2021,"25.870,23"
Monte Sião ,2021,"25.011,26"
Montezuma ,2021,"10.868,92"
Morada Nova de Minas ,2021,"60.432,26"
Morro da Garça ,2021,"21.156,64"
Morro do Pilar ,2021,"14.113,38"
Munhoz ,2021,"21.570,92"
Muriaé ,2021,"24.137,53"
Mutum ,2021,"18.874,87"
Muzambinho ,2021,"26.091,09"
Nacip Raydan ,2021,"11.607,00"
Nanuque ,2021,"19.924,58"
Naque ,2021,"12.675,74"
Natalândia ,2021,"22.725,11"
Natércia ,2021,"24.403,15"
Nazareno ,2021,"76.794,68"
Nepomuceno ,2021,"23.008,04"
Ninheira ,2021,"12.205,08"
Nova Belém ,2021,"27.201,82"
Nova Era ,2021,"24.702,73"
Nova Lima ,2021,"216.092,40"
Nova Módica ,2021,"16.530,55"
Nova Ponte ,2021,"69.569,06"
Nova Porteirinha ,2021,"15.515,42"
Nova Resende ,2021,"22.770,81"
Nova Serrana ,2021,"24.352,06"
Nova União ,2021,"18.734,56"
Novo Cruzeiro ,2021,"10.544,29"
Novo Oriente de Minas ,2021,"11.256,56"
Novorizonte ,2021,"13.167,03"
Olaria ,2021,"18.836,72"
Olhos-d'Água ,2021,"33.947,04"
Olímpio Noronha ,2021,"15.528,17"
Oliveira Fortes ,2021,"19.047,02"
Oliveira ,2021,"26.318,88"
Onça de Pitangui ,2021,"20.575,42"
Oratórios ,2021,"15.170,99"
Orizânia ,2021,"14.998,70"
Ouro Branco ,2021,"219.860,00"
Ouro Fino ,2021,"27.526,34"
Ouro Preto ,2021,"127.232,37"
Ouro Verde de Minas ,2021,"11.503,59"
Padre Carvalho ,2021,"8.999,72"
Padre Paraíso ,2021,"10.514,08"
Paineiras ,2021,"18.654,32"
Pains ,2021,"63.965,84"
Pai Pedro ,2021,"9.617,09"
Paiva ,2021,"17.996,58"
Palma ,2021,"15.693,82"
Palmópolis ,2021,"12.292,83"
Papagaios ,2021,"23.511,04"
Paracatu ,2021,"76.144,41"
Pará de Minas ,2021,"42.098,58"
Paraguaçu ,2021,"29.998,34"
Paraisópolis ,2021,"27.752,05"
Paraopeba ,2021,"36.955,29"
Passabém ,2021,"14.574,00"
Passa Quatro ,2021,"28.737,93"
Passa Tempo ,2021,"59.808,53"
Passa-Vinte ,2021,"20.794,20"
Passos ,2021,"26.081,82"
Patis ,2021,"9.122,53"
Patos de Minas ,2021,"39.738,04"
Patrocínio do Muriaé ,2021,"20.206,33"
